Condition and Correctness (all fake),Condition,Correctness,Advice Item,Number of Reasonings,NumResponses,Percentage,Percentage/8
D CORRECT,Advice with Reminders,Correct,Warped Companion Faces,10,418,2.392344498,0.299043062
D CORRECT,Advice with Reminders,Correct,Distorted Text/Patterns,57,418,13.63636364,1.704545455
D CORRECT,Advice with Reminders,Correct,Impossible Location,60,418,14.35406699,1.794258374
D CORRECT,Advice with Reminders,Correct,Accessories Don’t Make Sense,87,418,20.81339713,2.601674641
D WRONG,Advice with Reminders,Wrong,Asymmetric Facial Hair,14,245,5.714285714,0.714285714
D WRONG,Advice with Reminders,Wrong,Asymmetric Earrings,3,245,1.224489796,0.153061225
D WRONG,Advice with Reminders,Wrong,Asymmetric Glasses,2,245,0.816326531,0.102040816
D WRONG,Advice with Reminders,Wrong,Strange Clothing Fabric,11,245,4.489795918,0.56122449
D WRONG,Advice with Reminders,Wrong,Abnormal Clothing Structure,26,245,10.6122449,1.326530613
D WRONG,Advice with Reminders,Wrong,Colours Bleed From Background,13,245,5.306122449,0.663265306
D WRONG,Advice with Reminders,Wrong,Warped Companion Faces,6,245,2.448979592,0.306122449
D WRONG,Advice with Reminders,Wrong,Distorted Text/Patterns,18,245,7.346938776,0.918367347
D WRONG,Advice with Reminders,Wrong,Impossible Location,53,245,21.63265306,2.704081633
D WRONG,Advice with Reminders,Wrong,Accessories Don’t Make Sense,54,245,22.04081633,2.755102041
